No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
4,3,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
4,4,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
4,5,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
4,6,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,1,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,2,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,3,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,4,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,5,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
5,6,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,B,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
